index,value,
1,corrected-wrong,
2,followed,
3,followed,
4,followed,
5,followed,
6,followed,
7,corrected-correct,
8,corrected-wrong,
9,followed,
10,followed,
11,followed,
12,corrected-wrong,
13,followed,
14,followed,
15,followed,
16,corrected-correct,
17,followed,
18,corrected-correct,
19,followed,
20,mixed,
21,corrected-correct,
22,followed,
23,corrected-correct,
24,followed,
25,followed,
26,followed,
27,followed,
28,followed,
29,followed,
30,followed,
31,corrected-correct,
32,followed,
33,followed,
34,corrected,
35,followed,
36,followed,
37,followed,
38,followed,
39,followed,
40,followed,
41,followed,
42,corrected-correct,
43,followed,
44,followed,
45,followed,
46,corrected-correct,
47,followed,
48,followed,
49,corrected-wrong,
50,followed,
51,followed,
52,followed,
53,followed,
54,followed,
55,followed,
56,followed,
57,followed,
58,followed,
59,followed,
60,followed,
61,followed,
62,followed,
63,followed,
64,followed,
65,followed,
66,followed,
67,followed,
68,followed,
69,followed,
70,followed,
71,followed,
72,followed,
73,followed,
74,followed,
75,followed,
76,followed,
77,followed,
78,followed,
79,followed,
80,followed,
81,followed,
82,followed,
83,followed,
84,followed,
85,followed,150)
86,followed,
87,followed,
88,followed,
89,followed,
90,followed,
91,followed,
92,followed,
93,followed,
94,followed,
95,followed,
96,followed,
97,corrected-correct,
98,followed,
99,followed,
100,corrected-wrong,
101,followed,
102,followed,
103,corrected-correct,
104,followed,
105,followed,
106,followed,
107,corrected-correct,
108,followed,
109,followed,
110,followed,
111,followed,
112,followed,
113,followed,
114,followed,
115,followed,
116,followed,
117,corrected-correct,
118,corrected-wrong,
119,followed,
120,followed,
121,corrected-wrong,
122,followed,
123,followed,
124,followed,
125,followed,
126,followed,
127,corrected-correct,
128,followed,
129,followed,
130,followed,
131,followed,
132,followed,
133,followed,
134,followed,
135,followed,
136,followed,
137,followed,
138,followed,
139,followed,
140,corrected-correct,
141,followed,
142,corrected-correct,
143,corrected-wrong,
144,followed,
145,followed,
146,corrected-correct,
147,corrected-wrong,
148,corrected-correct,
149,followed,
150,followed,
151,corrected-correct,
152,followed,
153,followed,
154,followed,
155,followed,
156,corrected-correct,
157,followed,
158,followed,
159,followed,
160,corrected-correct,
161,corrected-wrong,
162,corrected-correct,
163,followed,
164,corrected-correct,
165,followed,
166,corrected-wrong,
167,corrected-correct,
168,corrected-correct,
169,followed,
170,followed,
171,followed,
172,corrected-correct,
173,corrected-correct,
174,followed,
175,followed,
176,followed,
177,followed,
178,followed,
179,followed,
180,corrected-correct,
181,followed,
182,followed,
183,followed,
184,followed,
185,followed,
186,corrected-wrong,
187,corrected-correct,
188,followed,
189,followed,
190,followed,
191,followed,
192,followed,
193,followed,
