index,value
1,followed
2,followed
3,followed
4,followed
5,followed
6,followed
7,corrected-correct
8,followed
9,followed
10,followed
11,followed
12,followed
13,followed
14,followed
15,followed
16,followed
17,followed
18,corrected-correct
19,followed
20,corrected-correct
21,followed
22,followed
23,corrected-wrong
24,followed
25,followed
26,followed
27,followed
28,followed
29,followed
30,followed
31,corrected-correct
32,followed
33,followed
34,followed
35,followed
36,followed
37,followed
38,followed
39,followed
40,followed
41,followed
42,corrected-correct
43,corrected-wrong
44,followed
45,followed
46,corrected-correct
47,followed
48,followed
49,followed
50,corrected-correct
51,followed
52,followed
53,followed
54,followed
55,followed
56,followed
57,followed
58,followed
59,followed
60,followed
61,followed
62,followed
63,followed
64,followed
65,followed
66,followed
67,followed
68,followed
69,followed
70,followed
71,followed
72,followed
73,followed
74,followed
75,followed
76,followed
77,followed
78,followed
79,followed
80,followed
81,followed
82,followed
83,followed
84,followed
85,followed
86,followed
87,followed
88,followed
89,followed
90,followed
91,followed
92,followed
93,followed
94,followed
95,followed
96,followed
97,followed
98,corrected-correct
99,followed
100,followed
101,followed
102,followed
103,followed
104,corrected-correct
105,followed
106,followed
107,corrected-correct
108,followed
109,followed
110,corrected-correct
111,corrected-correct
112,followed
113,followed
114,corrected-correct
115,followed
116,followed
117,followed
118,followed
119,followed
120,followed
121,followed
122,followed
123,followed
124,corrected-correct
125,followed
126,followed
127,followed
128,followed
129,corrected-correct
130,followed
131,followed
132,followed
133,followed
134,corrected-correct
135,followed
136,followed
137,followed
138,followed
139,followed
140,followed
141,followed
142,followed
143,followed
144,followed
145,followed
146,followed
147,corrected-correct
148,followed
149,corrected-correct
150,corrected-wrong
151,followed
152,followed
153,corrected-correct
154,corrected-wrong
155,corrected-correct
156,followed
157,followed
158,corrected-correct
159,followed
160,followed
161,followed
162,corrected-wrong
163,corrected-correct
164,corrected-wrong
165,followed
166,corrected-correct
167,corrected-correct
168,corrected-correct
169,corrected-correct
170,followed
171,corrected-correct
172,corrected-correct
173,followed
174,followed
175,corrected-correct
176,followed
177,followed
178,followed
179,corrected-wrong
180,corrected-correct
181,followed
182,followed
183,followed
184,followed
185,followed
186,followed
187,corrected-correct
188,followed
189,followed
190,followed
191,followed
192,followed
193,followed
194,corrected-correct
195,followed
196,followed
197,followed
198,followed
199,followed
200,followed
